Driver,AUS,MAL,BHR,SMR,ESP,MON,EUR,CAN,USA,FRA,GBR,GER,HUN,TUR,ITA,BEL,BRA,JPN,CHN
Fernando Alonso,3,1,1,1,2,4,1,Ret,DNS,1,2,1,11,2,2,2,3,3,1
Kimi Räikkönen,8,9,3,Ret,1,1,11†,1,DNS,2,3,Ret,1,1,4,1,2,1,2
Michael Schumacher,Ret,7,Ret,2,Ret,7,5,2,1,3,6,5,2,Ret,10,Ret,4,7,Ret
Juan Pablo Montoya,6,4,,,7,5,7,DSQ,DNS,Ret,1,2,Ret,3,1,14†,1,Ret,Ret
Giancarlo Fisichella,1,Ret,Ret,Ret,5,12,6,Ret,DNS,6,4,4,9,4,3,Ret,5,2,4
Ralf Schumacher,12,5,4,9,4,6,Ret,6,WD,7,8,6,3,12,6,7,8,8,3
Jarno Trulli,9,2,2,5,3,10,8,Ret,DNS,5,9,14†,4,6,5,Ret,13†,Ret,15
Rubens Barrichello,2,Ret,9,Ret,9,8,3,3,2,9,7,10,10,10,12,5,6,11,12
Jenson Button,11†,Ret,Ret,DSQ,,,10,Ret,DNS,4,5,3,5,5,8,3,7,5,8
Mark Webber,5,Ret,6,7,6,3,Ret,5,DNS,12,11,NC,7,Ret,14,4,NC,4,7
Nick Heidfeld,Ret,3,Ret,6,10,2,2,Ret,DNS,14,12,11,6,Ret,WD,,,,
David Coulthard,4,6,8,11,8,Ret,4,7,DNS,10,13,7,Ret,7,15,Ret,Ret,6,9
Felipe Massa,10,10,7,10,11†,9,14,4,DNS,Ret,10,8,14,Ret,9,10,11,10,6
Jacques Villeneuve,13,Ret,11†,4,Ret,11,13,9,DNS,8,14,15,Ret,11,11,6,12,12,10
Christian Klien,7,8,DNS,,,,,8,DNS,Ret,15,9,Ret,8,13,9,9,9,5
Tiago Monteiro,16,12,10,13,12,13,15,10,3,13,17,17,13,15,17,8,Ret,13,11
Alexander Wurz,,,,3,,,,,,,,,,,,,,,
Narain Karthikeyan,15,11,Ret,12,13,Ret,16,Ret,4,15,Ret,16,12,14,20,11,15,15,Ret
Christijan Albers,Ret,13,13,Ret,Ret,14,17,11,5,Ret,18,13,NC,Ret,19,12,14,16,16†
Pedro de la Rosa,,,5,,,,,,,,,,,,,,,,
Patrick Friesacher,17,Ret,12,Ret,Ret,Ret,18,Ret,6,Ret,19,,,,,,,,
Antônio Pizzonia,,,,,,,,,,,,,,,7,15†,Ret,Ret,13†
Takuma Sato,14†,WD,Ret,DSQ,,,12,Ret,DNS,11,16,12,8,9,16,Ret,10,DSQ,Ret
Vitantonio Liuzzi,,,,8,Ret,Ret,9,,,,,,,,,,,,
Robert Doornbos,,,,,,,,,,,,18,Ret,13,18,13,Ret,14,14†
Anthony Davidson,,Ret,,,,,,,,,,,,,,,,,
Ricardo Zonta,,,,,,,,,DNS,,,,,,,,,,
