Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,USA,BRA
Sebastian Vettel,2,11,5,1,6,4,4,Ret,3,5,4,2,22†,1,1,1,1,3,2,6
Fernando Alonso,5,1,9,7,2,3,5,1,2,1,5,Ret,3,3,Ret,3,2,2,3,2
Kimi Räikkönen,7,5,14,2,3,9,8,2,5,3,2,3,5,6,6,5,7,1,6,10
Lewis Hamilton,3,3,3,8,8,5,1,19†,8,Ret,1,Ret,1,Ret,5,10,4,Ret,1,Ret
Jenson Button,1,14,2,18†,9,16†,16,8,10,2,6,1,Ret,2,4,Ret,5,4,5,1
Mark Webber,4,4,4,4,11,1,7,4,1,8,8,6,20†,11,9,2,3,Ret,Ret,4
Felipe Massa,Ret,15,13,9,15,6,10,16,4,12,9,5,4,8,2,4,6,7,4,3
Romain Grosjean,Ret,Ret,6,3,4,Ret,2,Ret,6,18,3,Ret,,7,19†,7,9,Ret,7,Ret
Nico Rosberg,12,13,1,5,7,2,6,6,15,10,10,11,7,5,Ret,Ret,11,Ret,13,15
Sergio Pérez,8,2,11,11,Ret,11,3,9,Ret,6,14,Ret,2,10,Ret,11,Ret,15,11,Ret
Nico Hülkenberg,Ret,9,15,12,10,8,12,5,12,9,11,4,21†,14,7,6,8,Ret,8,5
Kamui Kobayashi,6,Ret,10,13,5,Ret,9,Ret,11,4,18†,13,9,13,3,Ret,14,6,14,9
Michael Schumacher,Ret,10,Ret,10,Ret,Ret,Ret,3,7,7,Ret,7,6,Ret,11,13,22†,11,16,7
Paul di Resta,10,7,12,6,14,7,11,7,Ret,11,12,10,8,4,12,12,12,9,15,19†
Pastor Maldonado,13†,19†,8,Ret,1,Ret,13,12,16,15,13,Ret,11,Ret,8,14,16,5,9,Ret
Bruno Senna,16†,6,7,22†,Ret,10,17,10,9,17,7,12,10,18†,14,15,10,8,10,Ret
Jean-Éric Vergne,11,8,16,14,12,12,15,Ret,14,14,16,8,Ret,Ret,13,8,15,12,Ret,8
Daniel Ricciardo,9,12,17,15,13,Ret,14,11,13,13,15,9,12,9,10,9,13,10,12,13
Vitaly Petrov,Ret,16,18,16,17,Ret,19,13,DNS,16,19,14,15,19,17,16,17,16,17,11
Timo Glock,14,17,19,19,18,14,Ret,DNS,18,22,21,15,17,12,16,18,20,14,19,16
Charles Pic,15†,20,20,Ret,Ret,Ret,20,15,19,20,20,16,16,16,Ret,19,19,Ret,20,12
Heikki Kovalainen,Ret,18,23,17,16,13,18,14,17,19,17,17,14,15,15,17,18,13,18,14
Jérôme d'Ambrosio,,,,,,,,,,,,,13,,,,,,,
Narain Karthikeyan,DNQ,22,22,21,Ret,15,Ret,18,21,23,Ret,Ret,19,Ret,Ret,20,21,Ret,22,18
