Driver,AUS,MAL,BHR,SMR,ESP,MON,EUR,CAN,USA,FRA,GBR,GER,HUN,TUR,ITA,BEL,BRA,JPN,CHN
Fernando Alonso,6,16,26,36,44,49,59,59,59,69,77,87,87,95,103,111,117,123,133
Kimi Räikkönen,1,1,7,7,17,27,27,37,37,45,51,51,61,71,76,86,94,104,112
Michael Schumacher,0,2,2,10,10,12,16,24,34,40,43,47,55,55,55,55,60,62,62
Juan Pablo Montoya,3,8,8,8,10,14,16,16,16,16,26,34,34,40,50,50,60,60,60
Giancarlo Fisichella,10,10,10,10,14,14,17,17,17,20,25,30,30,35,41,41,45,53,58
Ralf Schumacher,0,4,9,9,14,17,17,20,20,22,23,26,32,32,35,37,38,39,45
Jarno Trulli,0,8,16,20,26,26,27,27,27,31,31,31,36,39,43,43,43,43,43
Rubens Barrichello,8,8,8,8,8,9,15,21,29,29,31,31,31,31,31,35,38,38,38
Jenson Button,0,0,0,0,0,0,0,0,0,5,9,15,19,23,24,30,32,36,37
Mark Webber,4,4,7,9,12,18,18,22,22,22,22,22,24,24,24,29,29,34,36
Nick Heidfeld,0,6,6,9,9,17,25,25,25,25,25,25,28,28,28,28,28,28,28
David Coulthard,5,8,9,9,10,10,15,17,17,17,17,19,19,21,21,21,21,24,24
Felipe Massa,0,0,2,2,2,2,2,7,7,7,7,8,8,8,8,8,8,8,11
Jacques Villeneuve,0,0,0,5,5,5,5,5,5,6,6,6,6,6,6,9,9,9,9
Christian Klien,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,9
Tiago Monteiro,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,7,7,7,7
Alexander Wurz,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Narain Karthikeyan,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5
Christijan Albers,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4
Pedro de la Rosa,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Patrick Friesacher,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
Antônio Pizzonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Takuma Sato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Vitantonio Liuzzi,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Robert Doornbos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Zonta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
