Driver,AUS,MAL,BHR,ESP,MON,CAN,USA,FRA,GBR,EUR,HUN,TUR,ITA,BEL,JPN,CHN,BRA
Kimi Räikkönen,10,16,22,22,23,27,32,42,52,52,60,68,74,84,90,100,110
Lewis Hamilton,6,14,22,30,38,48,58,64,70,70,80,84,92,97,107,107,109
Fernando Alonso,8,18,22,28,38,40,48,50,58,68,73,79,89,95,95,103,109
Felipe Massa,3,7,17,27,33,33,39,47,51,59,59,69,69,77,80,86,94
Nick Heidfeld,5,10,15,15,18,26,26,30,33,36,42,47,52,56,56,58,61
Robert Kubica,0,0,3,8,12,12,12,17,22,24,28,29,33,33,35,35,39
Heikki Kovalainen,0,1,1,3,3,8,12,12,14,15,16,19,21,22,30,30,30
Giancarlo Fisichella,4,7,8,8,13,13,13,16,17,17,17,17,17,17,21,21,21
Nico Rosberg,2,2,2,5,5,5,5,5,5,5,7,9,12,15,15,15,20
David Coulthard,0,0,0,4,4,4,4,4,4,8,8,8,8,8,13,14,14
Alexander Wurz,0,0,0,0,2,8,8,8,8,13,13,13,13,13,13,13,13
Mark Webber,0,0,0,0,0,0,2,2,2,8,8,8,8,10,10,10,10
Jarno Trulli,0,2,4,4,4,4,7,7,7,7,7,7,7,7,7,7,8
Sebastian Vettel,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6,6
Jenson Button,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,6,6
Ralf Schumacher,1,1,1,1,1,2,2,2,2,2,5,5,5,5,5,5,5
Takuma Sato,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4
Vitantonio Liuzzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Adrian Sutil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Rubens Barrichello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazuki Nakajima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sakon Yamamoto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christijan Albers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
