Driver,AUS,MAL,BHR,ESP,TUR,MON,CAN,FRA,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,CHN,BRA
Lewis Hamilton,10,14,14,20,28,38,38,38,48,58,62,70,76,78,84,84,94,98
Felipe Massa,0,0,10,18,28,34,38,48,48,54,54,64,74,77,77,79,87,97
Kimi Räikkönen,0,10,18,28,34,34,34,42,47,50,56,56,56,56,56,62,68,74
Robert Kubica,0,8,14,19,24,32,42,46,46,48,49,55,58,64,64,72,75,75
Fernando Alonso,5,6,6,6,9,9,9,10,13,13,18,18,23,28,38,48,53,61
Nick Heidfeld,8,11,16,16,20,20,28,28,36,41,41,41,49,53,56,56,60,60
Heikki Kovalainen,4,10,14,14,14,15,15,20,24,28,38,43,43,51,51,51,51,53
Sebastian Vettel,0,0,0,0,0,4,5,5,5,6,6,9,13,23,27,30,30,35
Jarno Trulli,0,5,8,9,9,9,12,18,20,20,22,26,26,26,26,30,30,31
Timo Glock,0,0,0,0,0,0,5,5,5,5,13,15,15,15,20,20,22,25
Mark Webber,0,2,4,8,10,15,15,18,18,18,18,18,19,20,20,21,21,21
Nelson Piquet Jr.,0,0,0,0,0,0,0,2,2,10,13,13,13,13,13,18,19,19
Nico Rosberg,6,6,7,7,8,8,8,8,8,8,8,9,9,9,17,17,17,17
Rubens Barrichello,0,0,0,0,0,3,5,5,11,11,11,11,11,11,11,11,11,11
Kazuki Nakajima,3,3,3,5,5,7,7,7,8,8,8,8,8,8,9,9,9,9
David Coulthard,0,0,0,0,0,0,6,6,6,6,6,6,6,6,8,8,8,8
Sébastien Bourdais,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Jenson Button,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Giancarlo Fisichella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Sutil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takuma Sato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
