Driver,AUS,MAL,CHN,BHR,ESP,MON,TUR,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,BRA,ABU
Jenson Button,10,20,26,36,46,56,66,69,73,75,77,77,85,89,90,94,100
Sebastian Vettel,0,0,10,18,23,23,29,39,47,47,47,53,54,59,69,74,84
Rubens Barrichello,8,12,17,21,29,37,37,43,46,46,56,58,68,71,73,74,79
Mark Webber,0,3,11,11,17,21,29,37,47,53,53,53,53,53,53,63,71
Lewis Hamilton,0,2,5,10,10,10,10,10,10,20,28,28,28,38,44,50,50
Kimi Räikkönen,0,0,0,3,3,9,9,10,10,18,24,34,40,40,45,48,48
Nico Rosberg,3,4,4,4,5,8,12,16,21,26,30,31,31,31,35,35,35
Jarno Trulli,6,11,11,17,17,17,22,24,24,25,25,25,25,25,33,33,35
Fernando Alonso,4,4,4,5,9,11,11,11,13,13,16,16,20,26,26,26,26
Timo Glock,5,11,13,15,15,15,16,16,16,19,19,19,19,27,27,27,27
Felipe Massa,0,0,0,0,3,8,11,16,22,22,22,22,22,22,22,22,22
Heikki Kovalainen,0,0,4,4,4,4,4,4,5,9,14,17,20,22,22,22,22
Nick Heidfeld,0,8,8,8,10,10,10,10,10,10,10,14,16,16,19,19,23
Robert Kubica,0,0,0,0,0,0,2,2,2,2,3,8,8,9,9,17,17
Giancarlo Fisichella,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
Sébastien Buemi,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6
Adrian Sutil,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
Kamui Kobayashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Sébastien Bourdais,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazuki Nakajima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Piquet Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitantonio Liuzzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romain Grosjean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaime Alguersuari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
