Driver,AUS,MAL,CHN,TUR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,BRA
Sebastian Vettel,25,50,68,93,118,143,161,186,204,216,234,259,284,309,324,349,374,374,392
Jenson Button,8,26,38,46,61,76,101,109,109,109,134,149,167,185,210,222,240,255,270
Mark Webber,10,22,37,55,67,79,94,109,124,139,149,167,167,182,194,209,221,233,258
Fernando Alonso,12,20,26,41,51,69,69,87,112,130,145,157,172,184,202,212,227,245,257
Lewis Hamilton,18,22,47,59,77,85,85,97,109,134,146,146,158,168,178,196,202,227,227
Felipe Massa,6,16,24,24,24,24,32,42,52,62,70,74,82,84,90,98,98,108,118
Nico Rosberg,0,0,10,20,26,26,26,32,40,46,48,56,56,62,63,67,75,83,89
Michael Schumacher,0,2,6,6,14,14,26,26,28,32,32,42,52,52,60,60,70,76,76
Adrian Sutil,2,2,2,2,2,8,8,10,10,18,18,24,24,28,28,28,30,34,42
Vitaly Petrov,15,15,17,21,21,21,31,31,31,32,32,34,34,34,36,36,36,36,37
Nick Heidfeld,0,15,15,21,25,29,29,30,34,34,34,34,34,34,34,34,34,34,34
Kamui Kobayashi,0,6,7,8,9,19,25,25,25,27,27,27,27,27,27,27,27,28,30
Paul di Resta,1,2,2,2,2,2,2,2,2,2,8,8,12,20,20,21,21,23,27
Jaime Alguersuari,0,0,0,0,0,0,4,8,9,9,10,10,16,16,16,22,26,26,26
Sébastien Buemi,4,4,4,6,6,7,8,8,8,8,12,12,13,13,13,15,15,15,15
Sergio Pérez,0,0,0,0,2,2,2,2,8,8,8,8,8,9,13,13,14,14,14
Rubens Barrichello,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4
Bruno Senna,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Pastor Maldonado,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Pedro de la Rosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarno Trulli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heikki Kovalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitantonio Liuzzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jérôme d'Ambrosio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timo Glock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narain Karthikeyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Ricciardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
