Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,USA,BRA
Sebastian Vettel,18,18,28,53,61,73,85,85,100,110,122,140,140,165,190,215,240,255,273,281
Fernando Alonso,10,35,37,43,61,76,86,111,129,154,164,164,179,194,194,209,227,245,260,278
Kimi Räikkönen,6,16,16,34,49,51,55,73,83,98,116,131,141,149,157,167,173,198,206,207
Lewis Hamilton,15,30,45,49,53,63,88,88,92,92,117,117,142,142,152,153,165,165,190,190
Jenson Button,25,25,43,43,45,45,45,49,50,68,76,101,101,119,131,131,141,153,163,188
Mark Webber,12,24,36,48,48,73,79,91,116,120,124,132,132,132,134,152,167,167,167,179
Felipe Massa,0,0,0,2,2,10,11,11,23,23,25,35,47,51,69,81,89,95,107,122
Romain Grosjean,0,0,8,23,35,35,53,53,61,61,76,76,76,82,82,88,90,90,96,96
Nico Rosberg,0,0,25,35,41,59,67,75,75,76,77,77,83,93,93,93,93,93,93,93
Sergio Pérez,4,22,22,22,22,22,37,39,39,47,47,47,65,66,66,66,66,66,66,66
Nico Hülkenberg,0,2,2,2,3,7,7,17,17,19,19,31,31,31,37,45,49,49,53,63
Kamui Kobayashi,8,8,9,9,19,19,21,21,21,33,33,33,35,35,50,50,50,58,58,60
Michael Schumacher,0,1,1,2,2,2,2,17,23,29,29,35,43,43,43,43,43,43,43,49
Paul di Resta,1,7,7,15,15,21,21,27,27,27,27,28,32,44,44,44,44,46,46,46
Pastor Maldonado,0,0,4,4,29,29,29,29,29,29,29,29,29,29,33,33,33,43,45,45
Bruno Senna,0,8,14,14,14,15,15,16,18,18,24,24,25,25,25,25,26,30,31,31
Jean-Éric Vergne,0,4,4,4,4,4,4,4,4,4,4,8,8,8,8,12,12,12,12,16
Daniel Ricciardo,2,2,2,2,2,2,2,2,2,2,2,4,4,6,7,9,9,10,10,10
Vitaly Petrov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timo Glock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Pic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heikki Kovalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jérôme d'Ambrosio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narain Karthikeyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
