Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,GBR,GER,HUN,BEL,ITA,SIN,KOR,JPN,IND,ABU,USA,BRA
Sebastian Vettel,15,40,52,77,89,107,132,132,157,172,197,222,247,272,297,322,347,372,397
Fernando Alonso,18,18,43,47,72,78,96,111,123,133,151,169,187,195,207,207,217,227,242
Mark Webber,8,26,26,32,42,57,69,87,93,105,115,130,130,130,148,148,166,181,199
Lewis Hamilton,10,25,40,50,50,62,77,89,99,124,139,141,151,161,161,169,175,187,189
Kimi Räikkönen,25,31,49,67,85,86,88,98,116,134,134,134,149,167,177,183,183,183,183
Nico Rosberg,0,12,12,14,22,47,57,82,84,84,96,104,116,122,126,144,159,161,171
Romain Grosjean,1,9,11,26,26,26,26,26,41,49,53,57,57,72,87,102,114,132,132
Felipe Massa,12,22,30,30,45,45,49,57,57,61,67,79,87,89,90,102,106,106,112
Jenson Button,2,2,12,13,17,25,25,25,33,39,47,48,54,58,60,60,60,61,73
Nico Hülkenberg,0,4,5,5,5,5,5,6,7,7,7,17,19,31,39,39,39,47,51
Sergio Pérez,0,2,2,10,12,12,12,12,16,18,18,18,22,23,23,33,35,41,49
Paul di Resta,4,4,8,20,26,28,34,36,36,36,36,36,36,36,36,40,48,48,48
Adrian Sutil,6,6,6,6,6,16,17,23,23,23,25,25,26,26,26,28,29,29,29
Daniel Ricciardo,0,0,6,6,7,7,7,11,11,11,12,18,18,18,18,19,19,19,20
Jean-Éric Vergne,0,1,1,1,1,5,13,13,13,13,13,13,13,13,13,13,13,13,13
Esteban Gutiérrez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6
Valtteri Bottas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Pastor Maldonado,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Jules Bianchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Pic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heikki Kovalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giedo van der Garde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Chilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
