Driver,AUS,MAL,BHR,CHN,ESP,MON,CAN,AUT,GBR,GER,HUN,BEL,ITA,SIN,JPN,RUS,USA,BRA,ABU
Lewis Hamilton,0,25,50,75,100,118,118,136,161,176,191,191,216,241,266,291,316,334,359
Nico Rosberg,25,43,61,79,97,122,140,165,165,190,202,220,238,238,256,274,292,317,317
Daniel Ricciardo,0,0,12,24,39,54,79,83,98,106,131,156,166,181,193,199,214,214,226
Valtteri Bottas,10,14,18,24,34,34,40,55,73,91,95,110,122,122,130,145,155,156,171
Sebastian Vettel,0,15,23,33,45,45,60,60,70,82,88,98,106,124,139,143,149,159,163
Fernando Alonso,12,24,26,41,49,61,69,79,87,97,115,121,121,133,133,141,149,157,159
Felipe Massa,0,6,12,12,12,18,18,30,30,30,40,40,55,65,71,71,83,98,116
Jenson Button,15,23,23,23,23,31,43,43,55,59,60,68,72,72,82,94,94,106,116
Nico Hülkenberg,8,18,28,36,37,47,57,59,63,69,69,70,70,72,76,76,76,80,88
Sergio Pérez,1,1,16,18,20,20,20,28,28,29,29,33,39,45,46,47,47,47,53
Kevin Magnussen,18,20,20,20,20,21,23,29,35,37,37,37,38,39,39,49,53,55,55
Kimi Räikkönen,6,6,7,11,17,17,18,19,19,19,27,39,41,45,45,47,47,53,54
Jean-Éric Vergne,4,4,4,4,4,4,8,8,9,9,11,11,11,19,21,21,22,22,22
Romain Grosjean,0,0,0,0,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Daniil Kvyat,2,3,3,4,4,4,4,4,6,6,6,8,8,8,8,8,8,8,8
Pastor Maldonado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Jules Bianchi,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adrian Sutil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Ericsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Gutiérrez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Chilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamui Kobayashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
André Lotterer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Rossi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
