Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,AUT,GBR,HUN,BEL,ITA,SIN,JPN,RUS,USA,MEX,BRA,ABU
Lewis Hamilton,25,43,68,93,111,126,151,169,194,202,227,252,252,277,302,327,345,363,381,381
Nico Rosberg,18,33,51,66,91,116,134,159,177,181,199,199,211,229,229,247,272,297,322,322
Sebastian Vettel,15,40,55,65,80,98,108,120,135,160,160,178,203,218,236,251,251,266,278,278
Kimi Räikkönen,0,12,24,42,52,60,72,72,76,76,82,92,107,119,123,123,123,135,150,150
Valtteri Bottas,0,10,18,30,42,42,57,67,77,77,79,91,101,111,111,111,126,136,136,136
Felipe Massa,12,20,30,31,39,39,47,62,74,74,82,97,97,97,109,109,117,117,121,121
Daniil Kvyat,0,2,2,4,5,17,19,19,27,45,57,58,66,66,76,76,88,94,95,95
Daniel Ricciardo,8,9,11,19,25,35,35,36,36,51,51,55,73,73,73,74,84,84,92,92
Sergio Pérez,1,1,1,5,5,11,11,13,15,15,25,33,39,39,54,64,68,68,78,78
Nico Hülkenberg,6,6,6,6,6,6,10,18,24,24,24,30,30,38,38,38,44,52,58,58
Romain Grosjean,0,0,6,12,16,16,17,17,17,23,38,38,38,44,44,44,45,49,51,51
Max Verstappen,0,6,6,6,6,6,6,10,10,22,26,26,30,32,33,45,47,49,49,49
Felipe Nasr,10,10,14,14,14,16,16,16,16,16,16,16,17,17,25,27,27,27,27,27
Pastor Maldonado,0,0,0,0,0,0,6,12,12,12,12,12,12,16,22,26,26,27,27,27
Carlos Sainz Jr.,2,6,6,6,8,9,9,9,9,9,9,9,11,12,12,18,18,18,18,18
Jenson Button,0,0,0,0,0,4,4,4,4,6,6,6,6,6,8,16,16,16,16,16
Fernando Alonso,0,0,0,0,0,0,0,0,1,11,11,11,11,11,11,11,11,11,11,11
Marcus Ericsson,4,4,5,5,5,5,5,5,5,6,7,9,9,9,9,9,9,9,9,11
Roberto Merhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Rossi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Magnussen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
