Driver,AUS,BHR,CHN,RUS,ESP,MON,CAN,EUR,AUT,GBR,HUN,GER,BEL,ITA,SIN,MAL,JPN,USA,MEX,BRA,ABU
Nico Rosberg,25,50,75,100,100,106,116,141,153,168,186,198,223,248,273,288,313,331,349,367,385
Lewis Hamilton,18,33,39,57,57,82,107,117,142,167,192,217,232,250,265,265,280,305,330,355,380
Daniel Ricciardo,12,24,36,36,48,66,72,78,88,100,115,133,151,161,179,204,212,227,242,246,256
Sebastian Vettel,15,15,33,33,48,60,78,96,96,98,110,120,128,143,153,153,165,177,187,197,212
Max Verstappen,1,9,13,13,38,38,50,54,72,90,100,115,115,121,129,147,165,165,177,192,204
Kimi Räikkönen,0,18,28,43,61,61,69,81,96,106,114,122,124,136,148,160,170,170,178,178,186
Sergio Pérez,0,0,0,2,8,23,24,39,39,47,47,48,58,62,66,74,80,84,85,97,101
Valtteri Bottas,4,6,7,19,29,29,44,52,54,54,56,58,62,70,70,80,81,81,85,85,85
Nico Hülkenberg,6,6,6,6,6,14,18,20,20,26,27,33,45,46,46,50,54,54,60,66,72
Fernando Alonso,0,0,0,8,8,18,18,18,18,18,24,24,30,30,36,42,42,52,52,53,54
Felipe Massa,10,14,22,32,36,37,37,38,38,38,38,38,39,41,41,41,43,49,51,51,53
Carlos Sainz Jr.,2,2,4,4,12,16,18,18,22,26,30,30,30,30,30,30,30,38,38,46,46
Romain Grosjean,8,18,18,22,22,22,22,22,28,28,28,28,28,28,28,28,28,29,29,29,29
Daniil Kvyat,0,6,21,21,22,22,22,22,22,23,23,23,23,23,25,25,25,25,25,25,25
Jenson Button,0,0,0,1,3,5,5,5,13,13,13,17,17,17,17,19,19,21,21,21,21
Kevin Magnussen,0,0,0,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
Felipe Nasr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Jolyon Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Pascal Wehrlein,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Stoffel Vandoorne,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Esteban Gutiérrez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Ericsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Ocon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Haryanto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
