Driver,AUS,CHN,BHR,RUS,ESP,MON,CAN,AZE,AUT,GBR,HUN,BEL,ITA,SIN,MAL,JPN,USA,MEX,BRA,ABU
Lewis Hamilton,18,43,61,73,98,104,129,139,151,176,188,213,238,263,281,306,331,333,345,363
Sebastian Vettel,25,43,68,86,104,129,141,153,171,177,202,220,235,235,247,247,265,277,302,317
Valtteri Bottas,15,23,38,63,63,75,93,111,136,154,169,179,197,212,222,234,244,262,280,305
Kimi Räikkönen,12,22,34,49,49,67,73,73,83,98,116,128,138,138,138,148,163,178,193,205
Daniel Ricciardo,0,12,22,22,37,52,67,92,107,117,117,132,144,162,177,192,192,192,200,200
Max Verstappen,10,25,25,35,35,45,45,45,45,57,67,67,68,68,93,111,123,148,158,168
Sergio Pérez,6,8,14,22,34,34,44,44,50,52,56,56,58,68,76,82,86,92,94,100
Esteban Ocon,1,2,3,9,19,19,27,35,39,43,45,47,55,56,57,65,73,83,83,87
Carlos Sainz Jr.,4,10,10,11,17,25,25,29,29,29,35,36,36,48,48,48,54,54,54,54
Nico Hülkenberg,0,0,2,6,14,14,18,18,18,26,26,34,34,34,34,34,34,34,35,43
Felipe Massa,8,8,16,18,18,20,20,20,22,23,23,27,31,31,33,34,36,36,42,43
Lance Stroll,0,0,0,0,0,0,2,17,18,18,18,18,24,28,32,32,32,40,40,40
Romain Grosjean,0,0,4,4,5,9,10,10,18,18,18,24,24,26,26,28,28,28,28,28
Kevin Magnussen,0,4,4,4,4,5,5,11,11,11,11,11,11,11,11,15,15,19,19,19
Fernando Alonso,0,0,0,0,0,0,0,2,2,2,10,10,10,10,10,10,10,11,15,17
Stoffel Vandoorne,0,0,0,0,0,0,0,0,0,0,1,1,1,7,13,13,13,13,13,13
Jolyon Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
Pascal Wehrlein,0,0,0,0,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Daniil Kvyat,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
Marcus Ericsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Gasly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Giovinazzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendon Hartley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jenson Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul di Resta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
