Driver,AUS,BHR,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN,BEL,ITA,SIN,RUS,JPN,USA,MEX,BRA,ABU
Lewis Hamilton,18,33,45,70,95,110,120,145,145,163,188,213,231,256,281,306,331,346,358,383,408
Sebastian Vettel,25,50,54,66,78,96,121,131,146,171,171,189,214,226,241,256,264,276,294,302,320
Kimi Räikkönen,15,15,30,48,48,60,68,83,101,116,131,146,146,164,174,186,196,221,236,251,251
Max Verstappen,8,8,18,18,33,35,50,68,93,93,105,105,120,130,148,158,173,191,216,234,249
Valtteri Bottas,4,22,40,40,58,68,86,92,92,104,122,132,144,159,171,189,207,217,227,237,247
Daniel Ricciardo,12,12,37,37,47,72,84,96,96,106,106,118,118,118,126,134,146,146,146,158,170
Nico Hülkenberg,6,14,22,22,22,26,32,34,34,42,52,52,52,52,53,53,53,61,69,69,69
Sergio Pérez,0,0,0,15,17,17,17,17,23,24,30,30,40,46,46,47,53,57,57,58,62
Kevin Magnussen,0,10,11,11,19,19,19,27,37,39,39,45,49,49,49,53,53,53,53,55,56
Carlos Sainz Jr.,1,1,3,13,19,20,24,28,28,28,28,30,30,34,38,38,39,45,45,45,53
Fernando Alonso,10,16,22,28,32,32,32,32,36,40,40,44,44,44,50,50,50,50,50,50,50
Esteban Ocon,0,1,1,1,1,9,11,11,19,25,29,29,37,45,45,47,49,49,49,49,49
Charles Leclerc,0,0,0,8,9,9,10,11,13,13,13,13,13,13,15,21,21,21,27,33,39
Romain Grosjean,0,0,0,0,0,0,0,0,12,12,20,21,27,27,27,27,31,31,31,35,37
Pierre Gasly,0,12,12,12,12,18,18,18,18,18,18,26,28,28,28,28,28,28,29,29,29
Stoffel Vandoorne,2,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12
Marcus Ericsson,0,2,2,2,2,2,2,2,3,3,5,5,6,6,6,6,6,7,9,9,9
Lance Stroll,0,0,0,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6
Brendon Hartley,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4
Sergey Sirotkin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
