Driver,AUS,BHR,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN,BEL,ITA,SIN,RUS,JPN,MEX,USA,BRA,ABU
Lewis Hamilton,18,43,68,86,112,137,162,187,197,223,225,250,268,284,296,322,338,363,381,387,413
Valtteri Bottas,26,44,62,87,105,120,133,151,166,184,184,188,203,221,231,249,274,289,314,314,326
Max Verstappen,15,27,39,51,66,78,88,100,126,136,162,181,181,185,200,212,212,220,235,260,278
Charles Leclerc,10,26,36,47,57,57,72,87,105,120,120,132,157,182,200,215,223,236,249,249,264
Sebastian Vettel,12,22,37,52,64,82,100,111,123,123,141,156,169,169,194,194,212,230,230,230,240
Carlos Sainz Jr.,0,0,0,6,10,18,18,26,30,38,48,58,58,58,58,66,76,76,80,95,96
Pierre Gasly,0,4,13,13,21,32,36,37,43,55,55,63,65,65,69,69,75,77,77,95,95
Alexander Albon,0,2,3,3,3,7,7,7,7,7,15,16,26,34,42,52,64,74,84,84,92
Daniel Ricciardo,0,0,6,6,6,8,16,16,16,22,22,22,22,34,34,34,34,38,46,54,54
Sergio Pérez,0,1,5,13,13,13,13,13,13,13,13,13,21,27,27,33,37,43,44,46,52
Lando Norris,0,8,8,12,12,12,12,14,22,22,22,24,24,25,31,35,35,35,41,45,49
Kimi Räikkönen,4,10,12,13,13,13,13,19,21,25,25,31,31,31,31,31,31,31,31,43,43
Daniil Kvyat,1,1,1,1,3,9,10,10,10,12,27,27,33,33,33,33,34,34,34,35,37
Nico Hülkenberg,6,6,6,6,6,6,12,16,16,17,17,17,21,31,33,34,34,35,37,37,37
Lance Stroll,2,2,2,4,4,4,6,6,6,6,18,18,19,19,19,19,21,21,21,21,21
Kevin Magnussen,8,8,8,8,14,14,14,14,14,14,18,18,18,18,18,20,20,20,20,20,20
Antonio Giovinazzi,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,4,4,4,14,14
Romain Grosjean,0,0,0,0,1,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8
Robert Kubica,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
