Driver,AUT,STY,HUN,GBR,70A,ESP,BEL,ITA,TUS,RUS,EIF,POR,EMI,TUR,BHR,SKH,ABU
Lewis Hamilton,12,37,63,88,107,132,157,164,190,205,230,256,282,307,332,332,347
Valtteri Bottas,25,43,58,58,73,89,107,117,135,161,161,179,197,197,201,205,223
Max Verstappen,0,15,33,52,77,95,110,110,110,128,147,162,162,170,189,189,214
Sergio Pérez,8,16,22,22,22,32,33,34,44,56,68,74,82,100,100,125,125
Daniel Ricciardo,0,4,8,20,20,20,33,41,53,63,78,80,95,96,102,112,119
Carlos Sainz Jr.,10,13,15,15,15,23,23,41,41,41,51,59,65,75,85,97,105
Alexander Albon,0,12,22,26,36,40,48,48,63,64,64,64,64,70,85,93,105
Charles Leclerc,18,18,18,33,45,45,45,45,49,57,63,75,85,97,98,98,98
Lando Norris,16,26,26,36,38,39,45,57,65,65,65,65,69,74,86,87,97
Pierre Gasly,6,6,6,12,12,14,18,43,43,45,53,63,63,63,71,71,75
Lance Stroll,0,6,18,20,28,40,42,57,57,57,57,57,57,59,59,74,75
Esteban Ocon,4,4,4,12,16,16,26,30,30,36,36,40,40,40,42,60,62
Sebastian Vettel,1,1,9,10,10,16,16,16,17,17,17,18,18,33,33,33,33
Daniil Kvyat,0,1,1,1,2,2,2,4,10,14,14,14,26,26,26,32,32
Nico Hülkenberg,0,0,0,0,6,6,6,6,6,6,10,10,10,10,10,10,10
Kimi Räikkönen,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4
Antonio Giovinazzi,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4
George Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Romain Grosjean,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Kevin Magnussen,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicholas Latifi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Aitken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pietro Fittipaldi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
